Participant_ID,Gender_M,Age,Ethnicity,Q4_6_TEXT,Education,Income,Home_Area,Politics,Q8_6_TEXT,Recreation_Freq,Q10,Hunting or fishing,Q10_11_TEXT,Q12,Q12_6_TEXT,Q43,Q14,Q13_1,Q13_12,Q13_13,Q13_2,Q13_14,Q13_15,Q13_16,Q13_17,Q13_18,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q15,Q16,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q45,Q45_4_TEXT,Q48,Q49,Q50,Q51,Q20,Q22_1,Q22_2,Q22_3,Q22_17,Q22_18,Q22_19,Q22_20,Q22_21,Q22_4,Q22_22,Q22_23,Q22_24,Q22_25,Q22_26,Q22_27,Q22_28,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q26_1,Q26_2,Q26_3,Q26_10,Q26_11,Q26_12,Q26_13,Q26_14,Q26_5,Q26_6,Q26_7,Q26_8,Q26_9,Q29,Q30,Q31,Q32,Q33,Q52,Q34,Q35,Q53,Q36,Q37,Q54,Q56,Q55,Q58,Q57,Q59,Q60,MID,Excluded
56,0,63,Caucasian or White,,"Associate's Degree (e.g. AA, AS)",$0 - $49.999,Suburban/edge of a large city,Very conservative,,Rarely (About once a year),Camping,0,,"I feed other kinds of animals around my home,I plant native species in my yard,I seek out places where I might see wildlife (e.g. outdoor parks, nature areas)",,"birds, bears, deer, coyotes, mice,  cougars, snakes",I got to see some newborn deer at my brother's place. The mother had given birth next to his garage and we could look out the window and see them.,Strongly disagree,Strongly disagree,Somewhat agree,Strongly Agree,Somewhat disagree,Strongly Agree,Strongly Agree,Agree,Somewhat disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,flying mammal,They scared me because of stupid things other kids told me.,A Little (About once a year),Sometimes (A few times per year),A Little (About once a year),Sometimes (A few times per year),Never,Never,Never,Sometimes (A few times per year),Negatively,,No,,No,,I have only watched them fly around.,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Somewhat agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat disagree,Disagree,Strongly disagree,Strongly Agree,Bats have an important role in nature - they eat insects etc.,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,5 - I would definitely do this,5 - I would definitely do this,3 - I might do this,4 - I'm very likely to do this,3 - I might do this,5 - I would definitely do this,5 - I would definitely do this,5 - I would definitely do this,5 - I would definitely do this,5 - I would definitely do this,4 - I'm very likely to do this,2 - I probably would not do this,3 - I might do this,2 - I probably would not do this,TRUE,I don't know,FALSE,TRUE,Mammals,Sonar,Insects,I don't know,I don't know,I don't know,Yes,Yes,Yes,I don't know,I don't know,Yes,Yes,I don't know,,
57,1,35,Caucasian or White,,"Bachelor's degree (e.g. BS, BA, AB)",$0 - $49.999,Suburban/edge of a large city,Moderate,,Sometimes (A few times a year),"Hiking,Kayaking/Canoeing,Hunting,Fishing",1,,"I plant native species in my yard,I seek out places where I might see wildlife (e.g. outdoor parks, nature areas)",,"Deer, birds, fish, rabbits",Feeding multiple deer by hand in central Texas.,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly Agree,Somewhat agree,Rats with wings. Vampires,"Scared, I associated them with vampires and disease",A Little (About once a year),Never,A Little (About once a year),Never,A Little (About once a year),Sometimes (A few times per year),Never,Sometimes (A few times per year),Negatively,,No,,No,,I have never had a close interaction with bats,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,My feelings about bats has mostly come from their portrayal in media,3 - I might do this,3 - I might do this,4 - I'm very likely to do this,2 - I probably would not do this,3 - I might do this,3 - I might do this,3 - I might do this,2 - I probably would not do this,2 - I probably would not do this,2 - I probably would not do this,1 - I would absolutely not do this,2 - I probably would not do this,2 - I probably would not do this,3 - I might do this,2 - I probably would not do this,2 - I probably would not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,4 - I'm very likely to do this,TRUE,FALSE,FALSE,FALSE,Mammals,Sonar,Insects,I don't know,I don't know,I don't know,Yes,No,I don't know,No,No,I don't know,Yes,No,,
58,1,35,Caucasian or White,,"Bachelor's degree (e.g. BS, BA, AB)",$0 - $49.999,Suburban/edge of a large city,Very liberal,,Sometimes (A few times a year),"Hiking,Backpacking,Camping",0,,"I plant native species in my yard,I seek out places where I might see wildlife (e.g. outdoor parks, nature areas)",,"safari-like animals (lions, tigers, etc.) come to mind at first, and then birds",My mom always wanted to swim with dolphins so her and I did that on her 60th birthday last year.,Strongly disagree,Strongly disagree,Disagree,Strongly Agree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,fly,I've never been scared of them.  I've always thought that they were really interesting.,Sometimes (A few times per year),Sometimes (A few times per year),Sometimes (A few times per year),Sometimes (A few times per year),Never,Never,Never,Sometimes (A few times per year),"Neutrally,Comments:","Besides Batman, mostly negative.",No,,No,,They have been over me a few times in trees but that's about it.,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly disagree,Strongly Agree,Their sonar ability is what I find most interesting about them.,3 - I might do this,1 - I would absolutely not do this,5 - I would definitely do this,1 - I would absolutely not do this,1 - I would absolutely not do this,4 - I'm very likely to do this,5 - I would definitely do this,1 - I would absolutely not do this,2 - I probably would not do this,1 - I would absolutely not do this,3 - I might do this,4 - I'm very likely to do this,3 - I might do this,5 - I would definitely do this,4 - I'm very likely to do this,2 - I probably would not do this,1 - I would absolutely not do this,3 - I might do this,1 - I would absolutely not do this,TRUE,TRUE,FALSE,FALSE,Mammals,Sonar,Insects,1000,"Over-use of fertilizers, resulting in eutrophication",Pup,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
59,1,33,Asian or Pacific Islander,,"Bachelor's degree (e.g. BS, BA, AB)",$0 - $49.999,Urban/downtown/high density,Somewhat liberal,,Often (About once a month),"Hiking,Camping",0,,"I seek out places where I might see wildlife (e.g. outdoor parks, nature areas)",,"Bears, birds, tigers, lions, turtles, wolves, crocodiles","I was at a zoo where there was a jaguar or a cheetah. I was looking at it and I thought it was friendly. But all of sudden it turned around, lifted its tail and then shot liquid at me. I fortunately moved out of the way.",Disagree,Somewhat disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Agree,Agree,"vampire, fruit bats, blood, nocturnal",I always associated them with vampires and Dracula.,Never,Never,Never,Never,Never,A Little (About once a year),Never,Sometimes (A few times per year),Negatively,,No,,No,,,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat disagree,Agree,Strongly Agree,Agree,Somewhat agree,Neither agree nor disagree,,3 - I might do this,2 - I probably would not do this,4 - I'm very likely to do this,2 - I probably would not do this,3 - I might do this,4 - I'm very likely to do this,4 - I'm very likely to do this,4 - I'm very likely to do this,4 - I'm very likely to do this,4 - I'm very likely to do this,3 - I might do this,4 - I'm very likely to do this,4 - I'm very likely to do this,3 - I might do this,3 - I might do this,3 - I might do this,2 - I probably would not do this,3 - I might do this,3 - I might do this,TRUE,I don't know,FALSE,FALSE,Mammals,Sonar,Fruit,I don't know,I don't know,I don't know,Yes,I don't know,I don't know,I don't know,I don't know,Yes,I don't know,I don't know,,
60,0,33,Caucasian or White,,"Bachelor's degree (e.g. BS, BA, AB)",$0 - $49.999,Small city or town,Very liberal,,Sometimes (A few times a year),"Backpacking,Rock climbing",0,,"I have a bird feeder in my home,I feed other kinds of animals around my home,I plant native species in my yard,I seek out places where I might see wildlife (e.g. outdoor parks, nature areas),I visit zoos or aquariums at least once a year to see wildlife",,any animals that aren't domesticated,"probably any of the small animals i've cared for briefly if they were injured or terrorized by one of my best. baby bunnies, baby birds, etc.",Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I LOVE BATS,they are so freaking cool. they're mammals and can fly. and they have superpowers. and they sleep upside down. ,Sometimes (A few times per year),Never,Sometimes (A few times per year),A Little (About once a year),Sometimes (A few times per year),A Little (About once a year),Never,Sometimes (A few times per year),Negatively,,No,,No,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,&lt;3&lt;3&lt;3 cute cute cute,3 - I might do this,1 - I would absolutely not do this,5 - I would definitely do this,1 - I would absolutely not do this,1 - I would absolutely not do this,3 - I might do this,5 - I would definitely do this,3 - I might do this,4 - I'm very likely to do this,4 - I'm very likely to do this,3 - I might do this,5 - I would definitely do this,5 - I would definitely do this,5 - I would definitely do this,3 - I might do this,2 - I probably would not do this,1 - I would absolutely not do this,3 - I might do this,3 - I might do this,TRUE,I don't know,FALSE,FALSE,Mammals,Echolocation,Insects,I don't know,A disease called White-Nose Syndrome,Pup,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
61,1,33,African American or Black,,"Bachelor's degree (e.g. BS, BA, AB)",$0 - $49.999,Urban/downtown/high density,Very conservative,,All the time (Once a week or more),Other,0,Jogging,Other,None,Lion,I saw a giraffe and a bear at a local zoo in the past.,Disagree,Disagree,Agree,Somewhat agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Blindness and screeching,They were somewhat spooky to me.,Never,Never,Never,Never,Never,Never,Never,A Little (About once a year),Negatively,,No,,No,,None,Disagree,Somewhat agree,Somewhat agree,Disagree,Neither agree nor disagree,Disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat agree,Disagree,None at all.,3 - I might do this,2 - I probably would not do this,3 - I might do this,3 - I might do this,3 - I might do this,5 - I would definitely do this,5 - I would definitely do this,1 - I would absolutely not do this,1 - I would absolutely not do this,2 - I probably would not do this,2 - I probably would not do this,2 - I probably would not do this,2 - I probably would not do this,5 - I would definitely do this,2 - I probably would not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,2 - I probably would not do this,TRUE,FALSE,FALSE,TRUE,Mammals,Echolocation,Lizards and mice,500,Poaching for the global batwing trade,Kit,No,No,No,No,No,No,Yes,No,,
62,0,35,Caucasian or White,,"Associate's Degree (e.g. AA, AS)",$0 - $49.999,Urban/downtown/high density,Moderate,,All the time (Once a week or more),"Hiking,Cycling/Mountain biking,Fishing",1,,"I have a bird feeder in my home,I feed other kinds of animals around my home,I seek out places where I might see wildlife (e.g. outdoor parks, nature areas),I visit zoos or aquariums at least once a year to see wildlife",,"I link of the common animals I see around my area such as deer, prairie dogs, squirrels, and birds",I was at a state park with my husband and newborn. We were walking on a path with the stroller and a baby deer took interest in what we were doing.  It not only stood close to us as we walked by but it actually followed us.  ,Strongly disagree,Disagree,Somewhat disagree,Strongly Agree,Strongly disagree,Somewhat agree,Agree,Agree,Strongly disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"fear, halloween, caves, blind",i was scared of them,Often (Once a month),Sometimes (A few times per year),Sometimes (A few times per year),Sometimes (A few times per year),Sometimes (A few times per year),Often (Once a month),Never,Sometimes (A few times per year),Negatively,,No,,No,,n/a,Disagree,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,n/a,5 - I would definitely do this,3 - I might do this,5 - I would definitely do this,1 - I would absolutely not do this,3 - I might do this,5 - I would definitely do this,5 - I would definitely do this,2 - I probably would not do this,3 - I might do this,3 - I might do this,3 - I might do this,5 - I would definitely do this,3 - I might do this,5 - I would definitely do this,2 - I probably would not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,2 - I probably would not do this,TRUE,I don't know,FALSE,TRUE,Mammals,Sonar,Insects,I don't know,I don't know,I don't know,Yes,No,Yes,No,No,Yes,Yes,No,,
63,1,47,Caucasian or White,,"Bachelor's degree (e.g. BS, BA, AB)",$0 - $49.999,Suburban/edge of a large city,Very conservative,,Rarely (About once a year),"Cycling/Mountain biking,Fishing",1,,"I seek out places where I might see wildlife (e.g. outdoor parks, nature areas)",,"Here, primarily coyotes, javelina, possibly big cats, reptiles, particularly snakes, and birds of prey.","I was driving home from a party having had  a few beers, and a troop of javelina crossed right in front of me. They didn't obey the light, but they were neatly in the crosswalk, so of course I gave them the right of way.",Disagree,Somewhat agree,Neither agree nor disagree,Strongly Agree,Disagree,Agree,Somewhat agree,Neither agree nor disagree,Disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,"Cute, beneficial, rabies, disease.","I didn't have any real feeling about them since I never interacted with them. I probably thought bats in movies were pretty cool, like in vampire movies.",All the time (Daily-weekly),All the time (Daily-weekly),Often (Once a month),Often (Once a month),A Little (About once a year),A Little (About once a year),Never,Often (Once a month),Negatively,,No,,No,,"I've never been close to them, I've seen them from a distance, and heard them in vast numbers but never really had one get in my house or land in my hair or anything. I've probably gotten better looks at them at zoos, but there they don't do much.",Disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Disagree,Somewhat disagree,Somewhat disagree,Agree,"I like them, but I'm aware they carry disease and I think seeking to get close to them is sort of stupid.",3 - I might do this,2 - I probably would not do this,4 - I'm very likely to do this,2 - I probably would not do this,2 - I probably would not do this,3 - I might do this,4 - I'm very likely to do this,1 - I would absolutely not do this,3 - I might do this,3 - I might do this,3 - I might do this,3 - I might do this,4 - I'm very likely to do this,5 - I would definitely do this,2 - I probably would not do this,2 - I probably would not do this,2 - I probably would not do this,2 - I probably would not do this,4 - I'm very likely to do this,TRUE,FALSE,FALSE,FALSE,Mammals,Echolocation,Insects,I don't know,I don't know,Pup,Yes,Yes,Yes,I don't know,I don't know,Yes,Yes,I don't know,,
64,1,36,Caucasian or White,,"Bachelor's degree (e.g. BS, BA, AB)",$0 - $49.999,Suburban/edge of a large city,Moderate,,Rarely (About once a year),Hiking,0,,,,"wolves, buffalo, deer, coyotes",swimming with giant stingrays,Disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,"blind, rabies",didn't really care one way or the other,Sometimes (A few times per year),Sometimes (A few times per year),Sometimes (A few times per year),Sometimes (A few times per year),Never,Never,Never,Often (Once a month),Negatively,,No,,No,,"I lived in the country, so I would see them flying around after dark sometimes. Sometimes one would nest in our neighbor's barn.",Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,,4 - I'm very likely to do this,4 - I'm very likely to do this,4 - I'm very likely to do this,4 - I'm very likely to do this,2 - I probably would not do this,2 - I probably would not do this,3 - I might do this,3 - I might do this,3 - I might do this,2 - I probably would not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,3 - I might do this,TRUE,FALSE,FALSE,TRUE,Mammals,Sonar,Fruit,I don't know,I don't know,I don't know,Yes,No,No,No,No,Yes,Yes,No,,
65,0,33,Caucasian or White,,High school degree or equivalent (e.g. GED),$0 - $49.999,Suburban/edge of a large city,Very conservative,,Rarely (About once a year),Hiking,0,,,,zebras,I saw a hippo once at the zoo. Other then that I can't say I've had any memorable interactions.,Disagree,Agree,,Strongly disagree,Strongly Agree,Strongly Agree,Agree,Somewhat disagree,Agree,Somewhat disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,"scary, black, disease ridden",They terrified me,Never,Never,Never,A Little (About once a year),Never,A Little (About once a year),Never,Sometimes (A few times per year),Negatively,,No,,No,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,,3 - I might do this,3 - I might do this,3 - I might do this,3 - I might do this,5 - I would definitely do this,5 - I would definitely do this,3 - I might do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,5 - I would definitely do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,5 - I would definitely do this,TRUE,I don't know,I don't know,TRUE,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don’t know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,
66,0,23,Asian or Pacific Islander,,"Bachelor's degree (e.g. BS, BA, AB)",$0 - $49.999,Suburban/edge of a large city,Somewhat liberal,,Rarely (About once a year),Cycling/Mountain biking,0,,I visit zoos or aquariums at least once a year to see wildlife,,"Bears, Fox, Tigers, Lions, Wolves, Deers",I don't really have a memorable interaction with wildlife,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Agree,Strongly Agree,Strongly Agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Agree,Agree,"night, black, saves, upside down, wings","I don't have any really strong feelings about bats, it was pretty much neutral ",Never,Never,Never,Never,Never,Never,Never,A Little (About once a year),Neutrally,,No,,No,,,Somewhat agree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Strongly Agree,Somewhat agree,Neither agree nor disagree,Agree,,4 - I'm very likely to do this,1 - I would absolutely not do this,4 - I'm very likely to do this,1 - I would absolutely not do this,1 - I would absolutely not do this,5 - I would definitely do this,5 - I would definitely do this,2 - I probably would not do this,2 - I probably would not do this,3 - I might do this,2 - I probably would not do this,2 - I probably would not do this,3 - I might do this,4 - I'm very likely to do this,3 - I might do this,1 - I would absolutely not do this,1 - I would absolutely not do this,2 - I probably would not do this,4 - I'm very likely to do this,TRUE,FALSE,FALSE,FALSE,Mammals,Sonar,I don't know,I don't know,I don't know,Pup,I don’t know,Yes,I don't know,I don't know,I don't know,I don't know,Yes,I don't know,,
67,0,48,Asian or Pacific Islander,,"Bachelor's degree (e.g. BS, BA, AB)",$0 - $49.999,Suburban/edge of a large city,Somewhat liberal,,All the time (Once a week or more),"Hiking,Cycling/Mountain biking",0,,"I feed other kinds of animals around my home,I seek out places where I might see wildlife (e.g. outdoor parks, nature areas)",,"Bear, Lion, Eagle, Elephant, Rhinoceros, Whale, shark",My most memorable interaction was when I was still in the Philippines where we visited Sorsogon and we were able to see the whale shark at about a few hundred meters from our boat. It was really a huge animal measuring around 20-30 feet.,Somewhat agree,Somewhat agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat disagree,Strongly Agree,Somewhat disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,The words that come to my mind is Vampires.,I was very afraid about bats for we thought they were vampires and they would bite us in our necks.,Sometimes (A few times per year),A Little (About once a year),Sometimes (A few times per year),A Little (About once a year),A Little (About once a year),Never,Never,Sometimes (A few times per year),Negatively,,No,,No,,,Agree,Disagree,Disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Bats are a part of the eco system and they should not be harmed by people.,2 - I probably would not do this,1 - I would absolutely not do this,5 - I would definitely do this,1 - I would absolutely not do this,1 - I would absolutely not do this,4 - I'm very likely to do this,5 - I would definitely do this,3 - I might do this,2 - I probably would not do this,2 - I probably would not do this,3 - I might do this,3 - I might do this,4 - I'm very likely to do this,5 - I would definitely do this,3 - I might do this,3 - I might do this,2 - I probably would not do this,2 - I probably would not do this,2 - I probably would not do this,TRUE,FALSE,FALSE,TRUE,Mammals,Sonar,Fruit,I don't know,Habitat loss from humans moving into bat caves,I don't know,Yes,No,I don't know,No,No,Yes,Yes,No,,
68,1,23,Caucasian or White,,High school degree or equivalent (e.g. GED),$0 - $49.999,Suburban/edge of a large city,Somewhat liberal,,Often (About once a month),"Hiking,Backpacking,Cycling/Mountain biking,Camping,Fishing,Skiing/snowboarding",1,,"I have a bird feeder in my home,I feed other kinds of animals around my home,I seek out places where I might see wildlife (e.g. outdoor parks, nature areas),I visit zoos or aquariums at least once a year to see wildlife",,"Wolves and bears, things you can see out doors.",I went up north to a family cabin and when you looked outside there were just hoards of deer and it was crazy to see that many at once.,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly Agree,Agree,Agree,,Agree,Cute fluffy air puppies.,They were spooky cave beasts that only came out at night and drank blood.,A Little (About once a year),A Little (About once a year),Sometimes (A few times per year),Sometimes (A few times per year),Never,A Little (About once a year),A Little (About once a year),Often (Once a month),Negatively,,No,,No,,"Had to get a few bats out of our chimney, crazy flapping and swinging a broom to guide it out the door.",Disagree,Disagree,Disagree,Disagree,,Somewhat agree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Bats are cool and can be super scary or super cute and cuddly.,4 - I'm very likely to do this,1 - I would absolutely not do this,4 - I'm very likely to do this,1 - I would absolutely not do this,1 - I would absolutely not do this,2 - I probably would not do this,5 - I would definitely do this,2 - I probably would not do this,2 - I probably would not do this,2 - I probably would not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,3 - I might do this,3 - I might do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,5 - I would definitely do this,TRUE,FALSE,FALSE,FALSE,Mammals,Echolocation,Insects,I don't know,I don't know,I don't know,Yes,I don't know,I don't know,I don't know,I don't know,Yes,Yes,I don't know,,
69,0,33,Caucasian or White,,"Bachelor's degree (e.g. BS, BA, AB)",$0 - $49.999,Urban/downtown/high density,Somewhat liberal,,Sometimes (A few times a year),"Hiking,Camping",0,,I visit zoos or aquariums at least once a year to see wildlife,,"Birds, snake, fox, bear, deer, bison, bobcat",I observed many bisons walking by my car at Yellowstone National Park.,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,"Batman, darkness, night, cave, flying mammal, vampires",I was afraid of bats. I believed that they can suck my blood.,A Little (About once a year),Never,A Little (About once a year),Never,Never,Never,Never,Sometimes (A few times per year),Negatively,,No,,No,,N/A,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Somewhat disagree,,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,1 - I would absolutely not do this,3 - I might do this,3 - I might do this,2 - I probably would not do this,1 - I would absolutely not do this,2 - I probably would not do this,3 - I might do this,3 - I might do this,3 - I might do this,3 - I might do this,4 - I'm very likely to do this,3 - I might do this,2 - I probably would not do this,2 - I probably would not do this,3 - I might do this,4 - I'm very likely to do this,TRUE,I don't know,FALSE,I don't know,Mammals,I don't know,I don't know,I don't know,I don't know,Pup,Yes,I don't know,Yes,I don't know,I don't know,Yes,Yes,I don't know,,
70,1,52,Caucasian or White,,"Graduate or professional degree (e.g MS, MA, JD, MD, PhD)","$50,000 - $99,999",Suburban/edge of a large city,Somewhat liberal,,Sometimes (A few times a year),"Hiking,Camping,Kayaking/Canoeing",0,,"I seek out places where I might see wildlife (e.g. outdoor parks, nature areas),I visit zoos or aquariums at least once a year to see wildlife",,"deer, bears, birds, racoons, moose",i used to own a home with a backyard that abutted a forest.  One day a group of deer came into the backyard. They were just feet from my back door and stayed  for a quite some time,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly Agree,Somewhat agree,Agree,Agree,Somewhat agree,"scary, ugly, fangs, nighttime, upside down, hanging",i wa kind of scared of them,Sometimes (A few times per year),Sometimes (A few times per year),A Little (About once a year),Sometimes (A few times per year),A Little (About once a year),A Little (About once a year),Never,Sometimes (A few times per year),Negatively,,No,,No,,I have only seen them briefly at night flying around at night,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,I wish I knew more about them,3 - I might do this,2 - I probably would not do this,4 - I'm very likely to do this,1 - I would absolutely not do this,2 - I probably would not do this,3 - I might do this,3 - I might do this,2 - I probably would not do this,2 - I probably would not do this,3 - I might do this,1 - I would absolutely not do this,3 - I might do this,2 - I probably would not do this,4 - I'm very likely to do this,3 - I might do this,2 - I probably would not do this,1 - I would absolutely not do this,2 - I probably would not do this,3 - I might do this,TRUE,TRUE,FALSE,FALSE,Birds,Sonar,Insects,100,A disease called White-Nose Syndrome,Kit,I don’t know,No,Yes,I don't know,No,No,Yes,Yes,,
